Filename,Labels,Category
07J4uVMPSW4.mp3,"Bicycle,Vehicle,Speech",Human Sounds
07MJhv4uVlU.mp3,"Music,Radio,Speech",Human Sounds
07mS0mSTDjY.mp3,"Blues,Traditional music,Music,Speech,Dance music",Human Sounds
07vCFDpflcQ.mp3,"Bird,Duck",Animal Sounds
07VlN0dItyc.mp3,Idling,Miscellaneous
07yYzDPUPX8.mp3,Basketball bounce,Miscellaneous
07ZERJd7-9c.mp3,Run,Miscellaneous
088pGlFlgb4.mp3,Giggle,Miscellaneous
08IPzx0imsA.mp3,"Music,Radio",Musical Instruments
08JpxCv_Bek.mp3,"Slam,Speech",Human Sounds
08u-jdwjM74.mp3,Soul music,Miscellaneous
08U71rh7cDw.mp3,"Smash, crash,Whack, thwack",Impact Sounds
08YFRFx-g7s.mp3,"Music,Chorus effect,Distortion",Musical Instruments
09aRpEfUxT0.mp3,"Firecracker,Speech",Human Sounds
09l9A1XVbpY.mp3,"Singing,Music,Yell",Human Sounds
09prsO9YM2c.mp3,"Music,Lullaby",Musical Instruments
09TC9Yj7SHM.mp3,"Croak,Frog",Miscellaneous
09w-ZFasRvE.mp3,"Conversation,Speech",Human Sounds
09zT8qlC384.mp3,"Rain,Raindrop,Rain on surface",Environmental Sounds
09_A89lHfNo.mp3,Busy signal,Vehicle Sounds
0a3sS0cfsQk.mp3,"Bird flight, flapping wings",Animal Sounds
0a6uLBmqZgA.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
0AAvXso7C5c.mp3,Train whistle,Vehicle Sounds
0abfTrxjX-4.mp3,"Music,Meow",Musical Instruments
0aCvJzMN-SE.mp3,"Computer keyboard,Typing",Miscellaneous
0ADfdHN1N2w.mp3,Coin (dropping),Miscellaneous
0ADP-O_V3vA.mp3,"Jazz,Music,Wedding music,Rhythm and blues",Musical Instruments
0aer7MFIYQk.mp3,"Cattle, bovinae,Moo,Livestock, farm animals, working animals",Animal Sounds
0AGHo8V8HpM.mp3,"Harpsichord,Keyboard (musical)",Miscellaneous
0AHA6Zz-ykw.mp3,Car passing by,Vehicle Sounds
0AhX-ReXovI.mp3,"Tabla,Drum,Percussion",Musical Instruments
0aJ4ncKJqIg.mp3,"Insect,Cricket",Animal Sounds
0aKuES6SO2k.mp3,"Bird,Bird vocalization, bird call, bird song,Chirp, tweet",Animal Sounds
0AlEfN3Ye0U.mp3,"Cutlery, silverware",Miscellaneous
0amHVSbkaX8.mp3,"Alarm,Fire alarm",Environmental Sounds
0arN4pk83lA.mp3,Breaking,Miscellaneous
0auuJJiE2xI.mp3,"Vehicle,Speech,Air brake",Human Sounds
0B3y6sa8jgw.mp3,"Computer keyboard,Music,Snicker,Speech",Human Sounds
0bbgeqkDm6U.mp3,Crushing,Miscellaneous
0BFauf6TGGU.mp3,"Wind instrument, woodwind instrument,Shofar",Environmental Sounds
0bV3_9--5PM.mp3,"Background music,Music,Funny music",Musical Instruments
0c6sZTvY_xc.mp3,"Jingle (music),Music",Musical Instruments
0ccK49fwj1o.mp3,"Turkey,Fowl,Gobble",Animal Sounds
0CDP7zl6wCQ.mp3,"Whispering,Speech",Human Sounds
0cd_fXxQq3c.mp3,"Dental drill, dentist's drill",Miscellaneous
0cjmAt96WEI.mp3,"Bicycle,Vehicle,Speech",Human Sounds
0cr9YtzgZT4.mp3,"Reversing beeps,Truck,Vehicle,Air brake",Vehicle Sounds
0cS0h-5XVxU.mp3,"Music,Cacophony",Musical Instruments
0ct9AETvIdE.mp3,Car alarm,Vehicle Sounds
0d3kh_lETKc.mp3,"Babbling,Belly laugh,Speech",Human Sounds
0d5HRE6Jx3o.mp3,Clarinet,Miscellaneous
0DefiYiEF4E.mp3,"Music,Vehicle,Speech,Air brake",Human Sounds
0DgH-2g6Tmk.mp3,"Scratch,Speech",Human Sounds
0Djf1pI711g.mp3,Sigh,Miscellaneous
0dkcl7MGFyA.mp3,Bicycle bell,Miscellaneous
0dLpcotJusI.mp3,"Radio,Speech",Human Sounds
0DSVOjk2NfA.mp3,Engine knocking,Vehicle Sounds
0DYH0sqDXB8.mp3,"Funk,Music,Soul music",Musical Instruments
0e1wdxCx0ME.mp3,"Door,Sliding door,Speech",Human Sounds
0E8p38QTjgI.mp3,"Dishes, pots, and pans,Speech,Microwave oven",Human Sounds
0eAbf3x4foY.mp3,"Ding,Clang",Miscellaneous
0Ed-5hq7AdE.mp3,"Engine,Jet engine,Vehicle",Vehicle Sounds
0ehwxbvn3d0.mp3,"Music,Shout,Speech",Human Sounds
0EkXQKzNjkg.mp3,Car passing by,Vehicle Sounds
0eK_cwwvWAs.mp3,"Fowl,Honk,Cluck,Chicken, rooster",Animal Sounds
0EM3MvTgPL4.mp3,"Music,Thump, thud",Musical Instruments
0EsJvIfMx0w.mp3,"Walk, footsteps",Miscellaneous
0ew5tlxyZNg.mp3,Shuffling cards,Miscellaneous
0ewWspUqB6Y.mp3,"Wind instrument, woodwind instrument,Accordion",Musical Instruments
0exM1vzlKDg.mp3,"Music,Walk, footsteps",Musical Instruments
0ey3c39Vll8.mp3,"Sneeze,Music,Speech",Human Sounds
0eymuxOpj8s.mp3,Camera,Miscellaneous
0EzWmAPwoTs.mp3,"Music,Ska",Musical Instruments
0f2A-lZYAnw.mp3,"Cat,Domestic animals, pets,Meow,Caterwaul,Animal",Animal Sounds
0fFIg5WLnm0.mp3,"Speech,Oink",Human Sounds
0FHa462_1Mc.mp3,Fusillade,Miscellaneous
0fIvxfWezRU.mp3,Chop,Miscellaneous
0fm0oU8FO0U.mp3,"Vehicle,Helicopter,White noise",Vehicle Sounds
0FMdORf5iGs.mp3,"Music,Writing,Speech,Clapping",Human Sounds
0FMR_VBW5TU.mp3,"Jingle, tinkle",Miscellaneous
0fNI6KbbQI8.mp3,"Ding,Jingle, tinkle",Miscellaneous
0FQo-2xRJ0E.mp3,"Reversing beeps,Vehicle",Vehicle Sounds
0fSgvtg_OhU.mp3,"Gurgling,Stream",Environmental Sounds
0g43Ad6e-40.mp3,"Music,Musical instrument,Maraca",Musical Instruments
0G6lil4WFEM.mp3,"Music,Bang,Speech",Human Sounds
0gcJJ_M3gP0.mp3,"Run,Speech,Outside, urban or manmade",Human Sounds
0ghsGP6AeHw.mp3,"Zipper (clothing),Speech",Human Sounds
0gi_2J5wEO8.mp3,"Beep, bleep",Animal Sounds
0Gj0gGPGlMA.mp3,"Laughter,Hiccup,Speech,Baby laughter",Human Sounds
0GmmPp502DA.mp3,"Insect,Mosquito,Fly, housefly",Animal Sounds
0GQFYsxMP9Y.mp3,"Music,Tap,Speech",Human Sounds
0GqvQbY8ftc.mp3,"Ding,Clang",Miscellaneous
0gzJkUrw-ko.mp3,Computer keyboard,Miscellaneous
0H2uMhzSitY.mp3,"Music,Shatter",Musical Instruments
0H3FAoDgzhI.mp3,"Drum and bass,Music of Asia,Music,Techno",Musical Instruments
0h6dpegN0f4.mp3,"Cat,Domestic animals, pets,Caterwaul,Speech,Animal",Animal Sounds
0H7e3F9KL78.mp3,"Buzzer,Inside, small room",Miscellaneous
0H8Co8jdbT4.mp3,"Music,Dance music,Funny music",Musical Instruments
0hdanhk-EdE.mp3,"Firecracker,Music,Speech",Human Sounds
0HDoqcA727o.mp3,"Gunshot, gunfire,Artillery fire",Miscellaneous
0hipL0SkXMo.mp3,"Engine,Rumble,Vehicle,Car",Vehicle Sounds
0hoeAmqwvyY.mp3,"Speech,Speech synthesizer",Human Sounds
0HQCuY_XQa8.mp3,"Sampler,Music",Musical Instruments
0HqSxnJEXxA.mp3,Bicycle bell,Miscellaneous
0hrpu0UHkVw.mp3,"Crowd,Cheering,Children shouting",Miscellaneous
0HVlzmjFe7k.mp3,"Roar,Roaring cats (lions, tigers),Outside, rural or natural",Miscellaneous
0hw_BB4QN34.mp3,"Wood block,Drum,Percussion",Musical Instruments
0hz1GISR2tI.mp3,"Music,Shuffle",Musical Instruments
0Hz4R_m0hmI.mp3,Car alarm,Vehicle Sounds
0I3E-auy8JA.mp3,"Echo,Speech",Human Sounds
0ibiAsHSauA.mp3,"Zipper (clothing),Speech",Human Sounds
0iDM2s8kDIA.mp3,"Singing,Gospel music,Music",Human Sounds
0INaX5s-FNI.mp3,"Echo,Music",Musical Instruments
0iNkEzDn2ys.mp3,"Shout,Speech",Human Sounds
0irFGhfq0t8.mp3,"Chant,Music",Musical Instruments
0IUR0a8uR5c.mp3,"Skidding,Tire squeal,Car",Vehicle Sounds
0ix_rHxU54w.mp3,"Engine,Idling,Medium engine (mid frequency)",Vehicle Sounds
0I_Pi3zt4WY.mp3,"Fart,Music,Knock",Musical Instruments
0j8uGnMwGbs.mp3,Foghorn,Miscellaneous
0jaaX-we-8g.mp3,"Hubbub, speech noise, speech babble,Speech,Outside, urban or manmade",Human Sounds
0jBiK305ZIY.mp3,"Motor vehicle (road),Skidding,Vehicle,Car",Vehicle Sounds
0JDlM0Wolms.mp3,"Pant,Animal",Animal Sounds
0jFN112eGVQ.mp3,"Cat,Domestic animals, pets,Meow,Caterwaul,Speech,Animal",Animal Sounds
0JKcTVpby0I.mp3,"Siren,Civil defense siren",Miscellaneous
0JPT13OUVV8.mp3,"Fire engine, fire truck (siren),Emergency vehicle,Siren",Environmental Sounds
0jsCjvHoCtM.mp3,Telephone bell ringing,Miscellaneous
0jXTBAGv9ZQ.mp3,"Theme music,Music",Musical Instruments
0jzTEIxgsjM.mp3,"Speech,Speech synthesizer",Human Sounds
0K-zyeLuKho.mp3,"Guitar,Music,Musical instrument,Strum,Speech,Plucked string instrument",Human Sounds
0K7573uICwg.mp3,"Music,Bleat",Musical Instruments
0kBQ71uzBNc.mp3,"Crushing,Rustle",Miscellaneous
0kdRxEiEGIs.mp3,"Canidae, dogs, wolves,Chewing, mastication,Domestic animals, pets,Biting,Crackle,Dog,Animal",Animal Sounds
0kGkJuynFEI.mp3,Toothbrush,Miscellaneous
0KnYLPxGYf0.mp3,Gasp,Miscellaneous
0kuZvI5eQwg.mp3,"Bird,Bird vocalization, bird call, bird song,Coo,Pigeon, dove",Animal Sounds
0Kwzah-Rf70.mp3,Quack,Miscellaneous
0KXc1iKGh7s.mp3,"Walk, footsteps",Miscellaneous
0KXI3QmISXM.mp3,"Walk, footsteps,Speech",Human Sounds
0l1Z-qU6dtI.mp3,"Electric toothbrush,Speech",Human Sounds
0L3vcdzQPPU.mp3,Theremin,Miscellaneous
0L7-8yqgMEo.mp3,"Wild animals,Speech,Roaring cats (lions, tigers),Animal",Animal Sounds
0l70KR79oOI.mp3,"Sliding door,Speech",Human Sounds
0l8d_NhvFwY.mp3,Waterfall,Environmental Sounds
0LeKOO8Uzig.mp3,Humming,Miscellaneous
0LEZB41K8o8.mp3,Whispering,Human Sounds
0lIETNZ_7sg.mp3,"Christmas music,Music,Happy music",Musical Instruments
0LoFUGfk6MY.mp3,"Run,Speech",Human Sounds
0LPF76p5WSs.mp3,"Electric toothbrush,Speech,Inside, small room",Human Sounds
0Lt4MP0-6Tc.mp3,"Boat, Water vehicle,Motorboat, speedboat",Environmental Sounds
0Ly5mdtHGzE.mp3,"Drill,Tools,Power tool",Machine and Tool Sounds
0m72FCNQQEI.mp3,"Aircraft engine,Vehicle,Fixed-wing aircraft, airplane,Aircraft",Vehicle Sounds
0M7nETLOsKQ.mp3,"Music,Soul music",Musical Instruments
0M8SMwwe0Ow.mp3,"Radio,Speech",Human Sounds
0m9CbkMad_k.mp3,"Music,Pant",Musical Instruments
0maiaspDy5k.mp3,"Guitar,Glass,Music,Musical instrument,Pizzicato",Musical Instruments
0mG5unAv2_A.mp3,"Lawn mower,Vehicle",Vehicle Sounds
0mgwBb6HO-k.mp3,"Motor vehicle (road),Vehicle,Tire squeal,Car",Vehicle Sounds
0MJPqGKIbZg.mp3,"Hubbub, speech noise, speech babble,Speech,Outside, rural or natural",Human Sounds
0mkgZLfBqsg.mp3,"Roar,Music,Animal,Outside, rural or natural",Animal Sounds
0ML_fBIrGqA.mp3,"Bicycle,Vehicle,Inside, small room",Vehicle Sounds
0MOeailZgUo.mp3,"Speech,Sewing machine",Human Sounds
0MWEIhf9RHU.mp3,Mechanical fan,Miscellaneous
0N5BFy71y2U.mp3,"Theme music,Music",Musical Instruments
0NbN9By4eYw.mp3,"Wail, moan,Speech",Human Sounds
0NbRRq0L8o8.mp3,"Music,Sonar",Musical Instruments
0nEs0eUZNbg.mp3,"Gospel music,Music",Musical Instruments
0ng703aLhXs.mp3,Alarm,Miscellaneous
0nk7utNkHOY.mp3,"Cello,Double bass,Violin, fiddle,Bowed string instrument",Musical Instruments
0nNmbkU8GBI.mp3,"New-age music,Music,Sonar",Musical Instruments
0nP5mb2DCtA.mp3,"Music,Wedding music",Musical Instruments
0npLQ4LzD0c.mp3,Car alarm,Vehicle Sounds
0NSzeHaja5o.mp3,"Hubbub, speech noise, speech babble,Chatter,Speech",Human Sounds
0nT-W79s0ck.mp3,Typing,Miscellaneous
0NTzOtVmoiU.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
0NyrNJAXrIo.mp3,"Cat,Domestic animals, pets,Meow,Animal",Animal Sounds
0NZY0GHQBP0.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
0N_JKGLWEMc.mp3,"Mains hum,Hum,Static",Miscellaneous
0O9ZfRn69i8.mp3,"Vehicle,Rustling leaves,Car",Vehicle Sounds
0obQ_a6Cm-c.mp3,"Music,Tap,Speech",Human Sounds
0OhtODbKajw.mp3,"String section,Violin, fiddle,Bowed string instrument",Musical Instruments
0oIFGARD9xE.mp3,"Singing,Gospel music,Christian music,Crowd,Music,Choir",Human Sounds
0OiPtV9sd_w.mp3,"Reversing beeps,Truck,Vehicle",Vehicle Sounds
0olOcmJ0ceg.mp3,"Guitar,Music,Musical instrument,Harmonic,Plucked string instrument",Musical Instruments
0OLpIiSBlfc.mp3,"Sniff,Speech",Human Sounds
0omVgdC33FQ.mp3,"Railroad car, train wagon,Train horn,Rail transport,Train",Vehicle Sounds
0ONdm4sW47c.mp3,"Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument",Musical Instruments
0oSykzOfBO0.mp3,"Carnatic music,Sitar",Vehicle Sounds
0paO14gvFAk.mp3,Background music,Miscellaneous
0paz5XP8YSs.mp3,Afrobeat,Miscellaneous
0pgG7Rk_eqM.mp3,"Chainsaw,Outside, rural or natural",Miscellaneous
0PhU-PIsUMw.mp3,"Siren,Civil defense siren",Miscellaneous
0pJwADdUrRo.mp3,"Cat,Domestic animals, pets,Meow,Caterwaul,Animal",Animal Sounds
0pKW6LBhKOA.mp3,Microwave oven,Miscellaneous
0PKXu1l0OJk.mp3,"Music,Pulse,Speech",Human Sounds
0PNUMPym0I8.mp3,Crackle,Miscellaneous
0PWLf2cAkU8.mp3,"Speech,Child speech, kid speaking,Children playing",Human Sounds
0pxApm5Y6eM.mp3,"Jackhammer,Speech,Outside, rural or natural",Human Sounds
0q-80dzp6PU.mp3,"Disco,Music",Musical Instruments
0Q1JLNfm8oU.mp3,"Music,Rhythm and blues,Tender music",Musical Instruments
0Q5mzNz2hiA.mp3,"Music,Ding-dong,Speech",Human Sounds
0QAaln-hjPw.mp3,"Jazz,Music",Musical Instruments
0qbp0OtOvl4.mp3,"Cat,Domestic animals, pets,Caterwaul,Animal",Animal Sounds
0QDYPyHwLhk.mp3,"Music,Speech,Inside, public space",Human Sounds
0Qj73JaG8Ik.mp3,"Rain,Raindrop,Rain on surface",Environmental Sounds
0QKet-tdquc.mp3,"Reversing beeps,Vehicle",Vehicle Sounds
0QkL6IH7Jqk.mp3,"Music,Zing",Musical Instruments
0qMF1IbyV3I.mp3,"Wild animals,Roaring cats (lions, tigers),Animal",Animal Sounds
0qo1j2UeWmk.mp3,"Mains hum,Hum",Miscellaneous
0qQL0t97qf8.mp3,"Music,Pant,Speech",Human Sounds
0qri4nnfgQQ.mp3,"Caterwaul,Speech,Animal",Animal Sounds
0QSZ9Fr1qeQ.mp3,"Speech,Air brake",Human Sounds
0qtbbK5HVMw.mp3,"Music,Musical instrument,Pour,Violin, fiddle,Bowed string instrument",Musical Instruments
0qUXJz4HH_E.mp3,"Sniff,Speech,Animal",Animal Sounds
0QYNC7J05XI.mp3,"Country,Music,Bluegrass",Musical Instruments
0qZ3tI4nAZE.mp3,"Meow,Speech",Human Sounds
0QzVs8IBn_E.mp3,"Engine,Idling,Accelerating, revving, vroom,Vehicle,Medium engine (mid frequency)",Vehicle Sounds
0Q_-akJTU-0.mp3,"Music,Television,Speech",Human Sounds
0R348vGkjyw.mp3,"Engine,Idling,Speech,Medium engine (mid frequency)",Human Sounds
0r5gUOfAzeA.mp3,"Video game music,Music",Musical Instruments
0R8NB5yxmMk.mp3,Hammer,Miscellaneous
0rAyrmm7vv0.mp3,"Speech,Speech synthesizer",Human Sounds
0rcgzQpsWYs.mp3,Fire,Environmental Sounds
0RDz0rLakwc.mp3,"Music,Hip hop music",Musical Instruments
0rhb_K228gA.mp3,"Domestic animals, pets,Dog,Animal,Whimper (dog)",Animal Sounds
0RjFykTxCvc.mp3,"Fowl,Honk,Goose",Miscellaneous
0rNr_qnoPQ4.mp3,"Music,Happy music",Musical Instruments
0RpkkfkUBRU.mp3,"Music,Angry music",Musical Instruments
0Rqmp6q4wFk.mp3,"Female singing,Child singing",Miscellaneous
0rTIwRC4VvM.mp3,"Electric shaver, electric razor",Miscellaneous
0S5zWt91Bwo.mp3,"Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Bluegrass",Musical Instruments
0SblEOkB43I.mp3,Electric toothbrush,Miscellaneous
0SEHGxAQL18.mp3,"Cat,Domestic animals, pets,Meow,Caterwaul,Speech,Animal",Animal Sounds
0SkccP8H-fQ.mp3,"Railroad car, train wagon,Train whistle,Rail transport,Train,Clickety-clack",Vehicle Sounds
0so0iKHpBCo.mp3,"Pulleys,Mechanisms",Miscellaneous
0SP01BfLUOo.mp3,"Music,Single-lens reflex camera",Human Sounds
0sqyr0zVeKg.mp3,Cacophony,Miscellaneous
0SRRe7FAJCI.mp3,"Vehicle,Air brake",Vehicle Sounds
0StCxWx9dV8.mp3,"Walk, footsteps,Speech",Human Sounds
